Minisector,MAG,BOT,Fastest
0,293.5486719873836,292.05621791322244,MAG
1,303.1865474342857,302.73642365549955,MAG
2,278.48645626755473,284.01602118084605,BOT
3,103.97092355702395,102.03893255643995,MAG
4,220.41636084666666,217.35689239901237,MAG
5,271.58587961984136,277.5072794949348,BOT
6,210.99164856047,212.04589058478382,BOT
7,153.0938099180124,155.4704834441492,BOT
8,214.14388550860147,202.19105492801478,MAG
9,211.03039824525447,214.26402420215874,BOT
10,108.87027341003481,112.0660949303407,BOT
11,226.60325126480038,227.84172305150278,BOT
12,117.7898784040635,116.31394141811255,MAG
13,220.0269413480635,221.0363193545444,BOT
14,275.994728636152,283.43821761976335,BOT
15,208.26839637151926,207.3343922401229,MAG
16,181.9707526289705,183.90263059591837,BOT
17,248.37609903379186,246.9268206874074,MAG
18,200.27090445098796,192.1711224210914,MAG
19,171.7366655266924,174.10401282425704,BOT
20,259.7936647328423,260.5611274835466,BOT
21,289.5221531689697,289.6620357406061,BOT
22,168.5602011698475,168.28706271731158,MAG
23,208.82287987411138,208.96318036565017,BOT
24,271.3874955630623,275.4107135068783,BOT
25,,293.19791733333335,BOT
