Minisector,HAM,VER,Fastest
0,308.1054884557983,313.2436649632653,VER
1,211.22965782905337,223.7389670067999,VER
2,131.70881612032957,128.4230684432807,HAM
3,219.10619518350376,217.54224091728824,HAM
4,262.30788734730163,262.8839700682508,VER
5,287.7420220168034,288.28489295988453,VER
6,301.4067540239776,304.40800792666664,VER
7,265.82107477027114,264.5515576206017,HAM
8,171.68239454238469,168.06968509386914,HAM
9,239.81185499063608,238.85391736905063,HAM
10,273.4889388165079,273.4338726278095,HAM
11,256.17519223498664,246.9862971254189,HAM
12,206.18846300727344,199.69062888004515,HAM
13,121.21948811668932,121.72312442255011,VER
14,125.87781773671365,127.07000159878788,VER
15,153.31381920444565,151.71253173959923,HAM
16,125.48418250618198,130.15165743005494,VER
17,230.05454060578987,227.61838524444443,HAM
18,172.24654585084247,158.2574045160329,HAM
19,161.25800541251766,161.9918171351275,VER
20,241.51604694703383,244.73557369927195,VER
21,272.9855437478059,276.1805674258824,VER
22,291.53450688291815,293.24671831809525,VER
23,301.4016070120635,303.6425782595238,VER
24,306.20836043359304,310.4561223764172,VER
