Minisector,TSU,ALO,Fastest
0,291.93988909259815,287.5588780283541,TSU
1,301.8946348552109,297.4565767529412,TSU
2,280.67648032484846,279.0554927392562,TSU
3,107.71407018849969,104.82810787750297,TSU
4,214.8843860393211,217.94253165488536,ALO
5,277.03810639294164,269.13421691370235,TSU
6,206.15152001315883,199.02298542555008,TSU
7,153.52280864664223,155.42725032121814,ALO
8,203.9958087036206,207.8982198220738,ALO
9,215.06275004470095,211.0609124462737,TSU
10,111.7917463108583,117.3956119732336,ALO
11,223.46104788212372,222.53820479244754,TSU
12,111.17378590992884,121.04975984684759,ALO
13,220.7575292542338,217.93857555923555,TSU
14,286.48258396998557,270.5179000455829,TSU
15,207.6873467797672,211.1498510897344,ALO
16,183.06580920707484,188.78257149083942,ALO
17,243.462451882106,245.44069072046176,ALO
18,196.00737545389356,199.67935263689802,ALO
19,168.29967758717487,173.57110294770004,ALO
20,261.922108759798,253.43166985923995,TSU
21,288.108494660659,282.5919116862745,TSU
22,166.78011846690862,175.9212171556545,ALO
23,205.9568615832749,201.79272872234293,TSU
24,272.81528521336065,267.83498213874634,TSU
25,290.2204549818182,282.14,TSU
