Minisector,HAM,VER,Fastest
0,280.79416289352554,278.9673821491108,HAM
1,291.1467578493402,295.6685099804359,VER
2,241.82499261943641,242.5073499841895,VER
3,120.68085927130522,120.17706297777612,HAM
4,141.56940957644466,138.74124805706253,HAM
5,251.10639140975945,251.7225636751198,VER
6,252.05562813224233,261.9516630259138,VER
7,128.56508079282332,129.10935983868254,VER
8,247.81308235867928,246.07889341033786,HAM
9,262.9363870537199,264.81400072561377,VER
10,212.4265987861791,216.74713064317353,VER
11,148.74826254561341,148.5681122998255,HAM
12,213.38340035399833,209.64229790570295,HAM
13,256.72586682654963,261.55659634780824,VER
14,119.87472838517049,118.90187031926851,HAM
15,200.6461488873795,192.91160001358693,HAM
16,259.41155381965933,256.8804029799129,HAM
17,285.98079618180344,284.5415712983787,HAM
18,296.0544325677949,295.115475293926,HAM
19,301.54348226156367,299.8552083733333,HAM
20,299.1014208653101,302.35437514666665,VER
21,164.64301790387924,170.13750024479927,VER
22,152.7946846496559,146.8162542336116,HAM
23,205.54997037119534,201.86518929502716,HAM
24,239.2775090093264,234.0623023792803,HAM
25,268.5833322666667,266.8500032,HAM
