Minisector,PIA,RUS,Fastest
0,274.8436364509091,303.4850731006984,RUS
1,309.732776768,313.4861109894737,RUS
2,288.17851151809526,308.2022545306122,RUS
3,169.66959391727215,181.6810464776362,RUS
4,218.96967490324784,218.30309345740284,PIA
5,194.9232107008547,202.78237555132907,RUS
6,180.2233568824117,179.00154136107824,PIA
7,213.05157837575757,202.8758587418533,PIA
8,253.0242347755102,251.36096278774696,PIA
9,244.88059532867726,262.9880488502431,RUS
10,177.4831440406668,179.48279735135628,RUS
11,237.47967945922275,222.62655581222185,PIA
12,119.11126843001789,127.65506130973989,RUS
13,243.31871541241367,220.75981305906174,PIA
14,274.6749378220408,274.9474104946939,RUS
15,270.3792620948088,275.7545945545941,RUS
16,204.59516821177675,231.46126820858558,RUS
17,193.38278324356006,187.0411325460522,PIA
18,288.5275205250153,278.8547893963191,PIA
19,315.92839277714285,326.65885704758756,RUS
20,310.9653769396825,344.9142029883598,RUS
21,291.67201738018633,329.4342085591465,RUS
22,255.66380598814814,296.0881143370505,RUS
23,124.59802995734826,117.90213223732812,PIA
24,245.49864364062495,218.89212868444446,PIA
25,,282.78015806984126,RUS
