Minisector,PIA,LEC,Fastest
0,290.51780250482756,300.4947222044445,LEC
1,143.98883626539126,152.55851679253968,LEC
2,232.78372664182197,210.97986267990382,PIA
3,293.00932532486775,286.1302578944219,PIA
4,315.46585942,311.78088507809525,PIA
5,313.6420006878455,312.0963042074074,PIA
6,148.39278150803273,178.8262097479844,LEC
7,137.08131584,115.96057386379468,PIA
8,261.5982791043028,251.54948662750206,PIA
9,298.52587854023307,289.32798973490196,PIA
10,294.04525061293236,290.16426961426055,PIA
11,130.5213345323094,141.98274437093474,LEC
12,191.63458036705515,168.78588483069234,PIA
13,247.90416648366013,241.97240877179962,PIA
14,183.47955498198718,192.20706640729435,LEC
15,196.312386932198,195.99832702476192,PIA
16,191.8799753075109,200.5334958663736,LEC
17,236.7274502338209,234.50943244480726,PIA
18,281.0121915259259,279.38321261985186,PIA
19,294.97472659210626,290.2122957728798,PIA
20,246.61165589808613,249.6280639335065,LEC
21,202.0278432958242,210.4234750725926,LEC
22,191.2991444805482,185.73597511478908,PIA
23,267.9781651580419,266.85851066920634,PIA
24,303.01685743521557,300.113141135977,PIA
25,,303.0,LEC
