Minisector,STR,ALB,Fastest
0,243.3331433482664,245.06040196958924,ALB
1,279.7712411885714,281.22878684807256,ALB
2,169.76461784760573,180.0278505219086,ALB
3,153.67878454953296,142.61989173843992,STR
4,256.5927659178667,252.81918555844155,STR
5,261.0303328238509,265.38214569123085,ALB
6,220.41646301209806,212.81856006267282,STR
7,202.0778238300092,193.84522532437876,STR
8,156.08075501744236,151.7801737453556,STR
9,215.91031818830498,211.85001125945777,STR
10,273.61967013018386,270.9623405444619,STR
11,121.09219250536849,118.04762283000784,STR
12,206.57980365545842,201.45214278838387,STR
13,276.30507464177765,269.3819694205585,STR
14,302.40872467595653,293.0740976413893,STR
15,314.3376095157895,301.48973544973546,STR
16,265.1652174860012,239.43429488560042,STR
17,130.8310826122711,130.38307304253166,STR
18,129.43200587762743,126.93647621180953,STR
19,118.55618804562629,119.59004735027492,ALB
20,222.60594194757846,218.60713286713286,STR
21,253.824550318564,247.42321120745683,STR
22,232.11448586979878,228.44254167288648,STR
23,211.87006399905275,212.55057999639928,ALB
24,134.5421799988306,133.06856328326444,STR
25,214.33333333333334,213.57000192,STR
