Minisector,OCO,GAS,Fastest
0,305.78836298410437,308.70208531319724,GAS
1,189.7441202236553,196.72762314760732,GAS
2,113.21109201106499,110.8640986896798,OCO
3,198.50459162698414,189.8985560942153,OCO
4,255.89040554426504,252.40958143951173,OCO
5,282.87232665627704,285.1696088099567,GAS
6,298.3542602722078,301.7628205697629,GAS
7,243.08360703003626,234.37517392909572,OCO
8,141.7751215030303,146.85113554930365,GAS
9,224.43678790095237,227.7935668664996,GAS
10,267.8947028761905,268.62303748309773,GAS
11,234.71226546424242,229.65703419834043,OCO
12,175.31591434321268,170.09171138667867,OCO
13,108.5513973935951,109.1292969043084,GAS
14,105.56212576634027,105.41646078664235,OCO
15,149.6819592817316,139.4647480244612,OCO
16,105.41269984675415,111.15679703171078,GAS
17,205.18502533614267,200.7119784813468,OCO
18,154.89898414337662,161.67319373758113,GAS
19,147.15591029154584,146.99471770589707,OCO
20,237.73581776962405,238.68895252381688,GAS
21,270.3721640616785,271.40628227555555,GAS
22,289.7061454567003,290.85629353238596,GAS
23,299.6634069328254,302.45868035555554,GAS
24,304.37041971536956,307.8333333333333,GAS
25,,308.0,GAS
