Minisector,BEA,SAI,Fastest
0,284.83803100952383,282.2477449272381,BEA
1,300.185423079873,293.8005407307359,BEA
2,235.77218901542852,236.39467763153053,SAI
3,113.97550214823248,112.23068795537795,BEA
4,136.6174748357897,132.14456888759935,BEA
5,252.82392484554342,251.0287760886857,BEA
6,261.3930877596265,241.3509494173364,BEA
7,123.06806125433361,128.39957973409648,SAI
8,245.99892392675608,248.41054931857707,SAI
9,252.46984007794873,263.6752064559726,SAI
10,198.84513718210053,203.14176446530612,SAI
11,137.47593697315577,137.927601060597,SAI
12,204.53624543182684,215.3195580082106,SAI
13,266.3715766316238,254.86834987726706,BEA
14,119.60700346408501,116.82432742258503,BEA
15,192.5207968949459,200.32147125838836,SAI
16,261.041697392776,264.19374629407406,SAI
17,291.4549856156391,291.3372615261423,BEA
18,304.6717877577948,304.5376121433058,BEA
19,312.09490731851855,309.9674383802469,BEA
20,313.1318356154774,308.3518670491165,BEA
21,170.1945061019396,149.62250066628647,BEA
22,153.79646872610118,162.74657095485637,SAI
23,206.17233754457578,205.33969089246833,BEA
24,240.4674829450093,241.34521361159423,SAI
25,271.70999808,,BEA
