Minisector,PIA,RUS,Fastest
0,284.1137739585327,278.02680203290043,PIA
1,300.1119387492668,295.19748503279527,PIA
2,300.98560093315194,289.3108656278021,PIA
3,167.4050234373249,174.3019174037694,RUS
4,215.21899693860263,206.4442903156727,PIA
5,193.87882452410383,188.53397162022742,PIA
6,176.4440685472548,168.64693281923857,PIA
7,200.3618644082251,196.36191963731207,PIA
8,251.5896460341073,246.59507312306985,PIA
9,261.82639944134013,258.72080673165465,PIA
10,164.44627722234014,169.24111936296566,RUS
11,235.79776691423092,227.34550181802084,PIA
12,116.59562203200412,108.64519654915816,PIA
13,219.15191510083437,210.3357513527674,PIA
14,278.8287280209078,271.6635676376385,PIA
15,294.3031664090383,287.59393773306215,PIA
16,203.21780776547524,207.9806723124301,RUS
17,177.17476676429183,181.2069642283133,RUS
18,266.33140609652077,265.1185727255732,PIA
19,292.41928271030304,289.4780243999046,PIA
20,304.5466173570695,300.7245939419608,PIA
21,304.94910222388097,296.9693203953243,PIA
22,275.133610092588,250.84629688765054,PIA
23,112.54225713739176,115.11453262986838,RUS
24,233.45107425020282,233.15403437339518,PIA
