Minisector,ALB,NOR,Fastest
0,292.21054207823937,306.72548261351227,NOR
1,288.62260857260895,308.03273700392157,NOR
2,168.95912632611834,158.7519076222218,ALB
3,230.32369308583918,233.89000332121213,NOR
4,274.77741268370926,286.91438014883175,NOR
5,292.07190049356285,312.5110264454188,NOR
6,297.6994362940032,317.9813724235294,NOR
7,156.88147205662418,156.9927371587456,NOR
8,142.44262237176224,145.31145933333335,NOR
9,253.00367557308834,252.52104060008742,ALB
10,282.16282675212364,286.1851892436975,NOR
11,286.0007042365915,291.9230426101824,NOR
12,147.83856605738765,147.2952557710729,ALB
13,206.44631515897436,207.3457901679393,NOR
14,262.2201303704534,258.21772762017537,ALB
15,209.4086229146739,201.75856434567902,ALB
16,229.52229609606627,231.64505064337894,NOR
17,221.7806659272749,222.81569947301588,NOR
18,252.18724009333332,252.82671887025307,NOR
19,277.11352590820627,277.9689971456043,NOR
20,290.6389446343567,288.7256944592593,ALB
21,267.4354158933333,256.52602776103896,ALB
22,230.01737242344223,216.70743135484116,ALB
23,217.28752638192182,219.26919543084713,NOR
24,269.84529814260316,271.20375410459354,NOR
