Minisector,BOT,PER,Fastest
0,295.1484610318559,291.7931874806187,BOT
1,305.5606515328321,309.6771931508772,PER
2,310.34765022892225,317.45424389135803,PER
3,310.77258773333335,311.663389677586,PER
4,211.49549333383248,198.05638774349205,BOT
5,229.60329205489566,220.45585602065154,BOT
6,273.69504044535705,265.6707819064182,BOT
7,281.28709659399584,270.4123099151515,BOT
8,199.37137114838708,196.48970047407892,BOT
9,161.20868614150945,164.994725343088,PER
10,194.61817808631315,179.04690764444445,BOT
11,266.00925647026065,256.2660260980115,BOT
12,260.7577906285714,254.353000368254,BOT
13,237.92212163444353,232.61981985185187,BOT
14,279.0037876363636,272.14765497286874,BOT
15,185.98270672555935,180.40462557605443,BOT
16,228.28564732839507,219.4371502397262,BOT
17,249.7561639100539,250.32774671329224,PER
18,143.10077933837928,136.9698784957682,BOT
19,247.8044889198157,239.69090352866456,BOT
20,285.3550862822511,277.5376238800734,BOT
21,258.94321277518713,257.26871053369456,BOT
22,153.34130679197727,148.3466664038095,BOT
23,221.4375908549671,208.05894860020373,BOT
24,277.22865217662337,267.422243326498,BOT
25,289.52916693333333,280.91666702222227,BOT
