Minisector,LEC,ALO,Fastest
0,273.3565139003752,272.75116154434784,LEC
1,250.72682185043476,238.3336470420052,LEC
2,122.30797065502398,125.31371942984447,ALO
3,174.35562867642858,162.26512110752745,LEC
4,195.50861479801858,197.697578270309,ALO
5,199.32146725583814,195.51758939809523,LEC
6,264.80980141714286,263.4139812207792,LEC
7,286.9132007017544,283.9734815007856,LEC
8,245.54214405547725,217.5153883762963,LEC
9,151.83461371020474,146.70717075455386,LEC
10,121.13830288158762,120.47616736313903,LEC
11,164.41183676765868,165.74471459068482,ALO
12,246.54561136900432,245.34108852567783,LEC
13,153.7658150859011,150.7537053327637,LEC
14,138.2792694467668,147.87878402967124,ALO
15,107.1295772529445,100.17471293916296,LEC
16,212.5663378697143,229.82282207122375,ALO
17,242.5296306415054,237.34435972483092,LEC
18,129.65732149867245,129.5302010686118,LEC
19,235.60427180215873,240.0214545659237,ALO
20,275.78185292631576,274.0273261801673,LEC
21,195.2618081021744,196.42689218741273,ALO
22,145.40406075928038,147.3545526534108,ALO
23,218.5541722294906,220.1177703967921,ALO
24,230.64438852571894,234.15015488935066,ALO
25,258.703124,,LEC
