Minisector,BEA,GAS,Fastest
0,306.0808475343915,300.6179564005772,BEA
1,193.15481798389226,188.85862271465098,BEA
2,211.41138108496992,213.78739174464988,GAS
3,264.42488547463205,271.0230935039171,GAS
4,223.27332849993266,246.97901564559942,GAS
5,125.9043252984258,120.62546214739264,BEA
6,205.91241708701537,196.29844720084657,BEA
7,244.55295749047397,240.45506963279504,BEA
8,236.5698893291005,234.32281282635137,BEA
9,228.85567429300207,232.0630032983481,GAS
10,284.08990424644,287.12226392554487,GAS
11,309.59313442793655,308.5520755085714,BEA
12,323.7988540773333,318.1566452032893,BEA
13,322.32127032423045,314.4520063344879,BEA
14,312.49384007825626,311.0,BEA
15,246.9447290972583,311.0,GAS
16,227.4908855438127,236.31407170070818,GAS
17,270.9766748943377,264.81566109663976,BEA
18,280.7849559990857,289.346587144127,GAS
19,157.61809288812586,198.82804371859783,GAS
20,189.61217459853313,165.80620667273251,BEA
21,177.18537845887096,196.58868499840656,GAS
22,122.92308616779337,122.08959038489589,BEA
23,235.5795658903424,184.5344674662066,BEA
24,289.82074154290285,277.29237278288906,BEA
25,303.9624992,298.6067705066667,BEA
