Minisector,PER,BOT,Fastest
0,245.45064112598638,240.01180866951745,PER
1,125.08936476283004,124.19664047445886,PER
2,196.2460212063492,196.90356650136795,BOT
3,243.01532807697834,240.76205428571427,PER
4,258.67122783818047,250.52888763259259,PER
5,175.3561388639599,170.01315526656342,PER
6,141.4893732848023,141.2372479808999,PER
7,187.41828692938273,180.8085578915065,PER
8,98.55535305630806,107.01321443684849,BOT
9,75.07123701759396,74.32151932898975,PER
10,94.81124625656565,91.4983844170426,PER
11,185.6756509189418,183.06448645614037,PER
12,244.2155157350649,241.46863397194028,PER
13,265.2434815691274,264.719845945679,PER
14,270.0948564356343,269.9830764061538,PER
15,105.97164087024028,112.26802172210849,BOT
16,151.10019801553034,145.61907888729937,PER
17,183.11160722577927,177.46268050927318,PER
18,200.17373136181013,191.53370456810745,PER
19,210.40441226459544,208.95191088941175,PER
20,135.6770896843521,131.28717858091147,PER
21,105.96115844961065,121.13501656221975,BOT
22,100.78566862710903,91.29971380363637,PER
23,200.6548791720635,187.76694150115733,PER
24,248.27209111362694,243.21877266531988,PER
25,261.7454557090909,260.4079372190476,PER
