Minisector,VER,PER,Fastest
0,322.6476197194333,322.5801625997114,VER
1,331.36414021563115,331.9535256946469,PER
2,330.7948333333333,326.47893087169945,VER
3,192.1472587575792,200.0737225139065,PER
4,136.76109498261397,132.21234073399518,VER
5,268.90985895568264,268.0280887730403,VER
6,302.74666375420287,301.4834830095238,VER
7,314.72338514577353,315.583749952,PER
8,284.93019159619047,267.99985756882813,VER
9,151.40486880902807,148.03967596293583,VER
10,223.04854974679387,218.83712659224148,VER
11,234.86910126780953,227.51396532467533,VER
12,207.56729920576305,200.206076790169,VER
13,273.4843726995671,272.639667456,VER
14,308.5853240074578,308.0865196065055,VER
15,320.6825239969378,320.0978900906667,VER
16,269.707557523693,264.08629094956524,VER
17,224.6342082401097,214.33180072791208,VER
18,280.9598661004242,278.047288447205,VER
19,310.03722848788635,311.94937528421053,PER
20,318.7965973511111,321.50078566857144,PER
21,303.0955882342214,298.29512254437554,VER
22,216.5521128726677,210.02708425142856,VER
23,268.02806465820726,267.5326523738809,VER
24,295.82181731246374,305.64017923657144,PER
25,304.04,,VER
