Minisector,ALB,STR,Fastest
0,258.0808854316916,261.3150240530845,STR
1,226.1593500072111,227.85519565889766,STR
2,149.94956304060668,131.25706154530943,ALB
3,241.21802816894467,235.21929575683347,ALB
4,272.2127061751636,271.37520393513495,ALB
5,181.26058646219403,179.13673334911533,ALB
6,99.29735293202961,101.24585264458368,STR
7,133.0560805719951,133.68049862027394,STR
8,246.6689716993692,252.13996676458257,STR
9,171.95904014923298,163.25997324687106,ALB
10,180.93238910250548,177.84723646461632,ALB
11,254.39839707545786,258.4479167589744,STR
12,245.78000239629404,257.91153313312685,STR
13,262.11712784466795,265.13186793260076,STR
14,283.2020830222222,284.3244464480773,STR
15,276.4397094095238,269.6923812312822,ALB
16,139.83819285432108,138.21125710787075,ALB
17,229.78270813933352,230.45258555270937,STR
18,274.9498279595253,277.1095843918788,STR
19,285.33695647536234,288.54501485714286,STR
20,290.74296975581973,291.7965579130435,STR
21,295.99200999047264,297.78829846856877,STR
22,146.73492525684605,146.1066090993206,ALB
23,82.06426452462314,81.44779153734908,ALB
24,160.87122439859357,162.20421069184877,STR
25,,241.48958399999998,STR
