Minisector,NOR,HUL,Fastest
0,276.3124550101325,276.53304072982456,HUL
1,302.33117917090914,303.7305241866667,HUL
2,315.4722112902564,316.19989972644385,HUL
3,321.60854340840336,324.08904394666666,HUL
4,324.11314100512817,328.0,HUL
5,326.5917658920635,329.30705240584973,HUL
6,208.54504769876894,209.8640271968254,HUL
7,109.38004027250123,104.81541165620828,NOR
8,190.1771516415563,185.0552618642855,NOR
9,264.2926758844919,262.61722009493764,NOR
10,290.288138690709,293.1493703020078,HUL
11,176.13006825324263,167.6020989411254,NOR
12,94.69428265705216,98.44160003304735,HUL
13,109.86987092104613,112.94800401226453,HUL
14,222.78254087341992,223.79463756210723,HUL
15,199.647706446753,190.35464028361727,NOR
16,232.1996385518679,231.51627436933123,NOR
17,191.13551153231583,180.43717385677445,NOR
18,242.5053030884726,237.9636797231746,NOR
19,278.44186871,278.3547779851852,NOR
20,252.72576887667526,264.95064447641454,HUL
21,151.76635421688889,149.80550395428287,NOR
22,100.39274798820448,98.3907426948184,NOR
23,126.52178707407336,123.31126850692083,NOR
24,221.02920803628118,217.58735817094484,NOR
25,258.1999957333333,260.0,HUL
