Minisector,PER,STR,Fastest
0,306.91494789666666,306.25526416698415,PER
1,243.68937460690427,214.5958615379048,PER
2,127.37278539247166,129.9356906500729,STR
3,215.6020430442612,215.50255067204924,PER
4,259.7549222518822,262.05582223765026,STR
5,291.4814072927731,284.7042533434741,PER
6,311.78066309224494,300.66321127529415,PER
7,269.4442013917983,267.7105825152951,PER
8,167.84917844848482,165.95957108641525,PER
9,239.84488911221706,236.0107149191342,PER
10,267.04610419208024,269.6315107156661,STR
11,258.4062220287834,255.89157873152624,PER
12,203.17070102534214,210.16605136668633,STR
13,122.85652168089966,131.87611263239808,STR
14,123.96167388767053,120.0419330203671,PER
15,161.92947776389633,177.15182099368982,STR
16,119.4324664391619,125.19607401914149,STR
17,224.72481230973085,229.0681630057825,STR
18,158.21220611834394,182.75340388616976,STR
19,153.72603798797886,157.1934895995222,STR
20,241.6017477682055,244.9419630629665,STR
21,273.0812134081871,273.40023911942586,STR
22,292.6138348487089,290.3251814423903,PER
23,310.43825375492065,299.738631192381,PER
24,320.6581885308552,302.92887301818183,PER
25,324.0,304.09659141818184,PER
