Minisector,VER,ERI,Fastest
0,283.4477460723824,284.5951243144697,ERI
1,256.82925114173327,250.17950319865471,VER
2,271.02640222399566,269.8615266076234,VER
3,285.7578431372549,285.71144227724864,VER
4,139.67639419753544,129.52290445068894,VER
5,209.51515844143066,211.898059182042,ERI
6,263.815685731926,267.50089610821914,ERI
7,284.9750179998168,296.82395806666665,ERI
8,293.08243323999,312.36167672737287,ERI
9,296.4398866083541,319.76186919102395,ERI
10,288.8713254901961,291.4430235340368,ERI
11,105.48422249835056,101.64153415646021,VER
12,220.47663188475536,223.086948669792,ERI
13,270.3466673497014,276.4674931047043,ERI
14,275.24053924313375,265.58749763122745,VER
15,134.9038486317045,128.0941462511781,VER
16,214.4778552869872,202.83580043936266,VER
17,260.24212744401314,258.225726335628,VER
18,263.9391697575667,242.2518493201406,VER
19,252.90727317480827,242.40807837163402,VER
20,153.76476745713072,139.67734094185326,VER
21,197.20416766917384,192.74022521431576,VER
22,183.99356419419817,169.1786713414844,VER
23,198.79613249818115,184.37616134751684,VER
24,253.058552477193,250.23419371318317,VER
25,273.7714304,,VER
