Minisector,STR,PER,Fastest
0,297.2372303470605,297.4343625535353,PER
1,209.34275672454513,217.220113400685,PER
2,225.11109243956042,230.59439611989023,PER
3,275.33324595070707,276.53748987716307,PER
4,242.56484712695251,250.04877072494068,PER
5,129.17466887174336,132.90291500151497,PER
6,215.65743582419756,204.8404853186977,STR
7,260.36811526402346,256.88269222890267,STR
8,252.10431497281385,262.27974260016896,PER
9,237.67274647390946,243.90101773253247,PER
10,274.525700429822,276.97641807306485,PER
11,291.64676226449757,292.8618485370804,PER
12,304.06505959619045,302.3798930242424,STR
13,314.1774967906878,307.10856755544376,STR
14,316.7339777134802,307.68828102727275,STR
15,261.4123943449205,275.8517119745992,PER
16,246.96896094126984,244.668735322402,STR
17,282.3695129662467,278.03163741714286,STR
18,301.2618340092517,291.5930258793651,STR
19,153.67748910685748,160.23301057843773,PER
20,214.34081016648204,212.31710058262797,STR
21,190.04881638234014,205.46797336322138,PER
22,140.43429446767678,138.99916444063152,STR
23,237.31282635497837,236.17379635105905,STR
24,278.5828581498182,284.0443849258297,PER
25,292.04,295.6583338666667,PER
