Minisector,PER,HUL,Fastest
0,305.93383687101993,303.34321726402555,PER
1,235.43982800391402,240.49325536880914,HUL
2,133.15415481908056,128.8503809711722,PER
3,228.65101614808927,239.9076745714224,HUL
4,195.07958099331395,189.73782079766428,PER
5,246.01911179744107,245.90991518210623,PER
6,231.8291563445421,230.36656592637985,PER
7,260.6174989019734,253.484606441693,PER
8,287.0515511203078,290.1567558945582,HUL
9,202.97111049142856,210.99497770538045,HUL
10,207.39061656971904,204.67168336095975,PER
11,268.83035595663796,273.7885214244468,HUL
12,212.92607900154195,214.973289798514,HUL
13,248.95251418891445,248.7734791284737,PER
14,291.7124926254994,291.5088435252623,PER
15,308.0189765101449,306.566434966196,PER
16,305.438027981118,307.62334673263246,HUL
17,217.01313465288325,212.8387227922106,PER
18,261.3380623406338,260.18336585886203,PER
19,295.2432439674459,293.3828654355245,PER
20,310.4169283980381,308.8621088435374,PER
21,309.8635750472934,311.18968668380637,HUL
22,152.8087752456242,153.1143056054562,HUL
23,232.95314380695748,228.46029492202766,PER
24,285.71928675897436,284.47514313874285,PER
25,296.49999872,297.37500032,HUL
