Minisector,BOT,NOR,Fastest
0,257.1761153393985,256.03457710930945,BOT
1,208.75966913015873,203.95276359033195,BOT
2,223.35534905603095,221.36483497748696,BOT
3,261.87216095140417,262.5216047407407,NOR
4,275.51923714194345,276.5342076201141,NOR
5,216.01151598571428,220.6052207209408,NOR
6,98.72505571417643,94.26290736753177,BOT
7,182.63770858025393,189.92422254205746,NOR
8,268.1969547897436,269.16189379608977,NOR
9,289.66397407241163,289.27211462611257,BOT
10,298.3286457777778,295.9154659957857,BOT
11,293.63212435033034,292.4420298086957,BOT
12,113.59869707491023,113.46299627509994,BOT
13,216.56878602380954,217.72877046088945,NOR
14,276.6121187230476,275.9677877919414,BOT
15,293.51689949151137,293.5797100985507,NOR
16,215.21673520612615,225.43078296774195,NOR
17,126.51872246834915,121.71601859236225,BOT
18,152.6045854095238,150.83685121473073,BOT
19,252.17579777593141,253.14721453061225,NOR
20,157.44232600799424,153.26788025272594,BOT
21,131.22720826862306,130.6604046971309,BOT
22,206.94157813290562,206.78953851817414,BOT
23,208.07999826673932,207.86365362922493,BOT
24,169.21839404227643,167.14612663449682,BOT
