Minisector,HAM,VET,Fastest
0,292.118055415873,311.08023084058203,VET
1,300.0451885132974,328.15225534292694,VET
2,280.2922841624844,319.3052978492216,VET
3,117.72121391652736,117.96410046801148,VET
4,226.53088996104276,224.867078020843,HAM
5,267.9542513268958,264.61720430903756,HAM
6,220.62622820625197,211.8197110212552,HAM
7,164.58477517288617,160.4047903747009,HAM
8,206.90576745278324,195.81738785629622,HAM
9,211.93587947866922,211.74177691088113,HAM
10,116.2659108816873,114.78863087731726,HAM
11,229.8975036723936,229.23884178622387,HAM
12,116.89179663214999,116.64970417580915,HAM
13,227.94036340321426,222.44756361523545,HAM
14,283.8446377232491,271.8281831322562,HAM
15,229.08564587547764,218.76869555108445,HAM
16,200.88161914354797,197.99105084831757,HAM
17,255.37403542420142,251.52445990388537,HAM
18,217.8943598650992,207.23877302484445,HAM
19,182.09700453741928,179.82475578872854,HAM
20,267.2816175765393,267.6889787463227,VET
21,294.9237767863779,292.36840628120774,HAM
22,164.8495298194041,174.40175865794956,VET
23,213.0535199737551,199.9192782312737,HAM
24,280.32815669800425,271.61235996221575,HAM
25,,286.9166659555556,VET
