Minisector,BOT,NOR,Fastest
0,251.72951297777777,254.7714910054136,NOR
1,281.39039569846756,281.98999984,NOR
2,174.66178816000001,162.56129088027973,BOT
3,172.9445411549941,172.96162038112027,NOR
4,261.64635821090263,262.0467260626474,NOR
5,277.21636587775635,269.6742700051948,BOT
6,234.84500096,221.55049703870034,BOT
7,206.7024912271147,199.09310377931035,BOT
8,165.70928331956986,160.02421219394708,BOT
9,221.49320794074072,230.7803169827262,NOR
10,277.7098576074608,277.82458277333336,NOR
11,124.43788251097682,125.65583595236039,NOR
12,220.16944209382714,226.99607461279876,NOR
13,272.2607703945578,274.66567385396826,NOR
14,290.5961165061224,289.77023786666666,BOT
15,296.9260964491228,295.2654165866667,BOT
16,230.75666819000173,195.91882167741934,BOT
17,140.02344885581397,140.4682543238095,NOR
18,141.43351329626353,144.48135907042337,NOR
19,124.85521753935208,127.67604439370199,NOR
20,234.53974557407932,235.21586276423645,NOR
21,260.71985863896106,261.99124085130853,NOR
22,240.15180324548678,226.78129985141405,BOT
23,216.8538138638448,203.14796120237406,BOT
24,149.03046732,146.8336988608868,BOT
25,224.53333333333333,,BOT
