Minisector,HAM,KVY,Fastest
0,294.3531891489079,290.9664500516914,HAM
1,207.04297003583358,193.1788251836727,HAM
2,230.92705841112416,227.68809272477392,HAM
3,275.16778266565143,272.76544071406926,HAM
4,230.3906457967113,227.6742561051396,HAM
5,128.3521059352471,123.30442220770344,HAM
6,215.51735263380945,213.46637389189146,HAM
7,260.30233910955945,256.2928637164933,HAM
8,207.97146448577183,201.77141133698152,HAM
9,207.70084494245674,209.06747318962087,KVY
10,265.06037910218254,262.793771826051,HAM
11,214.49006526116082,201.16684018243816,HAM
12,183.00436221490932,184.78035518449468,KVY
13,261.4317746257148,261.59186916335557,KVY
14,281.2360319194027,280.0096733151199,HAM
15,264.4774304990999,260.0116789628394,HAM
16,247.35442374933837,244.63285993649123,HAM
17,274.9502535996356,273.2544132750217,HAM
18,285.99726450988516,286.5448098519547,KVY
19,180.4853997914001,179.11986115320616,HAM
20,214.06149306278317,210.46910949747442,HAM
21,171.19297318967816,167.36703643314436,HAM
22,145.75895741954264,142.41143086715843,HAM
23,243.90750748956887,241.1143455761192,HAM
24,282.2447900353243,282.01382685094507,HAM
