Minisector,LEC,GAS,Fastest
0,269.03541758548755,265.45119557023065,LEC
1,249.33055917928377,248.8948838233766,LEC
2,118.80898722234048,118.07919362762733,LEC
3,167.15712449738376,163.99719887899337,LEC
4,198.8161285503952,186.16582079238097,LEC
5,195.1946039913975,196.64909825412477,GAS
6,263.10566543588124,262.9821328872727,LEC
7,287.4404449879681,284.7467412123077,LEC
8,242.85034999549782,218.65764091654322,LEC
9,142.09556889681124,140.96102009310025,LEC
10,108.39018548828497,114.26666114449846,GAS
11,147.546904845225,151.60972551695411,GAS
12,240.28465353142857,240.5834030443064,GAS
13,152.29644538166752,147.1770511040984,LEC
14,138.66110110782833,143.87695051741457,GAS
15,106.49931243671328,107.68205654164042,GAS
16,210.68582307133948,218.02336973328448,GAS
17,240.48573599670524,223.47754070031746,LEC
18,128.35303820051948,129.38751892497098,GAS
19,237.85130570846698,243.55498267917835,GAS
20,275.7252657960173,274.37822967840214,LEC
21,210.79389371359943,189.33088963166514,LEC
22,138.98880737697283,146.0422237679577,GAS
23,212.7863544093091,213.56117427624878,GAS
24,218.64529847147392,227.2980249621305,GAS
25,254.7285741714286,,LEC
