Minisector,BEA,SAI,Fastest
0,272.1816341714286,274.4631002892379,SAI
1,247.54717790970787,248.13347011844155,SAI
2,119.23609090094861,119.4471935371956,SAI
3,168.91591455904762,174.3447470919882,SAI
4,192.04575363202477,188.72051911193034,BEA
5,198.36383854314573,204.858393997676,SAI
6,263.60797779963457,266.9286110577778,SAI
7,285.6932021894737,288.3250676941302,SAI
8,229.03809967582546,227.19137732592594,BEA
9,147.31584472644138,143.7881182231109,BEA
10,121.43548149054757,124.68558289564079,SAI
11,161.93355128259188,164.4328316402837,SAI
12,247.52149644640693,248.7695248946654,SAI
13,154.6809074408758,150.88402740622223,BEA
14,142.38557831075727,151.88154790736542,SAI
15,105.28580566943361,106.28839539557819,SAI
16,217.90368957050507,227.61573767155278,SAI
17,241.20173017008406,235.28267744588746,BEA
18,128.84997504797383,131.31702759776297,SAI
19,242.75230249896674,246.17295453305726,SAI
20,276.6591220709957,277.117048280665,SAI
21,202.9613167141836,188.25723934331066,BEA
22,148.44953777010744,172.26256347094738,SAI
23,225.862062122206,221.87868057489177,BEA
24,235.20340910199135,235.27489903666876,SAI
