Minisector,VER,PER,Fastest
0,275.56810115030146,284.8371156675571,PER
1,143.45973793292805,137.11258716610192,VER
2,223.58888015075567,212.6865898237825,VER
3,281.5232665606455,285.7144837141395,PER
4,306.57560476515846,321.8541111035477,PER
5,298.6267479359569,306.54849624060154,PER
6,155.39675422981853,150.69959933052036,VER
7,236.0252153436886,241.51024802515366,PER
8,108.17962872997018,108.47087049507512,PER
9,176.71752603886142,170.13673181535228,VER
10,275.7756633441223,276.17520883375556,PER
11,298.2418541244784,299.72307438653354,PER
12,213.8246643355455,215.85737199229214,PER
13,175.3640252404457,177.53739726063168,PER
14,279.10564770001054,277.56845453970584,VER
15,306.5428686075607,309.29317222215155,PER
16,319.290989690086,323.1631845697591,PER
17,324.244718756815,332.41274810351916,PER
18,327.63277774222223,343.8043595202822,PER
19,321.8625460894788,348.3495472937143,PER
20,178.47371358459927,189.56850902996877,PER
21,181.97923258552484,176.55278753983922,VER
22,278.5986068082347,275.81760115411697,VER
23,308.86440616699866,308.5692319652878,VER
24,318.71971602194986,320.82582972582975,PER
