Minisector,NOR,RUS,Fastest
0,289.38251743361633,289.0042733757087,NOR
1,308.2280208569632,308.55310455151084,RUS
2,306.89463772748127,309.3297828730435,RUS
3,202.47660522093827,202.6927814640645,RUS
4,234.83296652900688,236.75151752998306,RUS
5,223.29552268701394,225.33670823959696,RUS
6,206.3684201319243,207.01299336574695,RUS
7,231.2007974244898,229.29730471100612,NOR
8,269.8616592206803,264.931080224054,NOR
9,280.7750992770054,278.88197524637684,NOR
10,175.74740024087237,174.24680969194162,NOR
11,237.23050922683788,237.2666155791682,RUS
12,120.74746247577983,112.08263129865226,NOR
13,226.21182384484848,219.37000829779947,NOR
14,278.9295539796304,279.36098105408706,RUS
15,294.93797063372534,295.4406892922266,RUS
16,218.91509913153592,219.95966252687478,RUS
17,187.01020483238415,180.4890593969424,NOR
18,267.54198741750645,267.19456080910055,NOR
19,295.26645361922897,294.013552808421,NOR
20,306.75714644248194,306.7364230740914,NOR
21,306.5727381739683,307.75883757473684,RUS
22,273.89059448402116,283.70561065931827,RUS
23,118.46576931787276,119.19019489175095,RUS
24,246.0484551628219,243.15777882502405,NOR
25,,277.0,RUS
