Minisector,ALO,TSU,Fastest
0,241.82053602321253,245.72491696294267,TSU
1,272.9380848135218,276.6746480207694,TSU
2,162.29271312173321,163.57283867493146,TSU
3,153.75176650814814,152.96471264573876,ALO
4,254.84113309529374,256.04534754812335,TSU
5,265.0045677457644,254.18326427301588,ALO
6,224.61025964522523,202.8163014624257,ALO
7,194.33607020450216,191.28472481558398,ALO
8,152.4451469823501,149.16965260768345,ALO
9,209.8952218732173,205.0736909551961,ALO
10,270.95815449037315,268.3812473995307,ALO
11,121.05224566585203,118.62957272023577,ALO
12,202.38620249823717,213.5631246176344,TSU
13,268.00675834920634,277.04687468444445,TSU
14,290.8637192297119,305.7028162679948,TSU
15,300.31915707636364,320.3598054968889,TSU
16,253.1137075383908,237.69736211836735,ALO
17,128.8584613828084,123.58313655915882,ALO
18,129.48794564855567,128.28872555031185,ALO
19,116.70206815486664,122.88285056667677,TSU
20,220.2379373780666,224.99958961427848,TSU
21,250.65046327161906,248.68680403618302,ALO
22,228.38422247395886,220.25678837522904,ALO
23,202.95472240700337,200.0401109056277,ALO
24,131.40572805478317,134.56388140706147,TSU
25,212.94999808,,ALO
