Minisector,STR,GAS,Fastest
0,287.676326624462,287.26990307145564,STR
1,289.9052789683185,290.40652223238095,GAS
2,166.58317829111544,163.55138431180828,STR
3,220.24834233101146,224.81785697823807,GAS
4,270.815873015873,271.2892419242756,GAS
5,292.3165501412987,290.5657711207359,STR
6,299.8572374886181,294.847443099798,STR
7,181.6024824646733,175.10066511299303,STR
8,125.3491350515841,124.52477422423706,STR
9,246.27386752292458,246.12662386683232,STR
10,281.44711597755435,283.0693506816642,GAS
11,288.90983891988793,291.2316504483129,GAS
12,146.18348316105426,145.13991970409813,STR
13,195.2658623788034,192.6342551557272,STR
14,255.54531223064043,251.70300434436257,STR
15,209.79156264607636,206.39918948468758,STR
16,217.89198450269336,215.05555648,STR
17,215.11981918268395,209.49051979496033,STR
18,241.5264989177489,242.13052298753382,GAS
19,276.84868942576105,274.8549395699474,STR
20,291.7186763545098,288.20375003733335,STR
21,264.0486964886965,263.0597787803663,STR
22,224.04647371949642,222.62152487417825,STR
23,200.553856178882,203.50671826471915,GAS
24,260.5340569438479,261.68220187247715,GAS
