Minisector,RUS,NOR,Fastest
0,250.5961321338388,249.1296373599979,RUS
1,212.2890099650986,204.98082064283915,RUS
2,204.8100756283272,203.371514090357,RUS
3,254.95541687226387,256.37639891301586,NOR
4,269.33040267132975,270.455150105176,NOR
5,281.44676059200003,278.05936981157026,RUS
6,166.7230558248189,163.12795202678186,RUS
7,180.1460103270711,186.84275382695844,NOR
8,261.90863188759147,264.3939252464478,NOR
9,285.6008517929881,289.2698423928022,NOR
10,294.6319981624242,296.80484035192757,NOR
11,297.12416634666664,289.30372899159664,RUS
12,108.98952405829428,112.96420778605477,NOR
13,194.04823696203331,190.6711041305937,RUS
14,266.3101385525019,267.90902601650794,NOR
15,287.3924342905263,291.2743757122042,NOR
16,284.41671423792206,290.86279463218045,NOR
17,184.33661213623444,183.7720339683353,RUS
18,220.9254733902948,222.486425312,NOR
19,259.30893883225605,260.64026001570244,NOR
20,154.9791979045614,152.2277713377849,RUS
21,144.59085994045657,144.91250740166385,NOR
22,216.9308336134543,220.9900045348131,NOR
23,226.07315616386032,224.31854930041152,RUS
24,165.4616738076169,162.6452956838501,RUS
