Minisector,HAM,BOT,Fastest
0,275.66680231837364,274.77508282457035,HAM
1,294.5587287933422,293.4104400935685,HAM
2,293.11953181241626,287.6460960388357,HAM
3,177.00824405167126,173.66750620468065,HAM
4,117.85342668890338,118.82355857435402,BOT
5,234.91313946627014,235.2065338454709,BOT
6,284.1148951812171,282.5497837503962,HAM
7,299.5001983500997,296.60636226405006,HAM
8,173.02286739795736,163.97354476052706,HAM
9,141.3521281141012,143.4045162600025,BOT
10,253.753581263256,252.55567076770944,HAM
11,289.7124617146753,286.78120648296147,HAM
12,300.98430430740717,295.9152726194697,HAM
13,278.17231317158354,281.0638116617328,BOT
14,301.1871547059701,298.6920144477172,HAM
15,302.44219352624077,298.01211682107305,HAM
16,245.56701849358507,246.7389050256446,BOT
17,218.94304936637275,226.4754295724576,BOT
18,281.148342527786,279.2605619707412,HAM
19,308.3456376735651,301.0846556377793,HAM
20,317.67539500926665,299.4820674668847,HAM
21,225.7251809585883,228.8378803994828,BOT
22,260.09609831760685,257.83031228506957,HAM
23,134.38310206022405,133.06765888655522,HAM
24,204.40470848887497,218.951242333865,BOT
25,245.97095302133192,,HAM
