Minisector,PIA,HUL,Fastest
0,274.74411761045195,270.11302062459697,PIA
1,231.90427837121024,241.63537198466864,HUL
2,119.00886768097479,117.53979627362702,PIA
3,171.91505484937326,176.3263434905888,HUL
4,187.96168976737326,192.86835004248283,HUL
5,202.27771293735276,195.51223712018142,PIA
6,267.6723217038961,266.0734807159605,PIA
7,289.2873530729412,288.17476713705116,PIA
8,230.37519588431246,247.33455315837048,HUL
9,147.97762899175868,145.08997856582022,PIA
10,123.31038173015763,115.23558019429636,PIA
11,161.5390959678673,150.75306237514746,PIA
12,244.2506344645066,242.56102326545042,PIA
13,149.54353884773107,158.09391923915126,HUL
14,153.75696000694754,139.14317633039988,PIA
15,105.61358544224353,106.70957656178902,HUL
16,222.61228442923928,213.14314947692307,PIA
17,237.1247889760571,246.96170853402504,HUL
18,128.36424733360067,123.84508986610918,PIA
19,241.37993861626376,235.4830149519194,PIA
20,278.9152531714286,275.32550654230727,PIA
21,193.99942912228215,211.40236193516537,HUL
22,156.53450265730612,143.9777339884935,PIA
23,217.89788332603075,217.34656653661645,PIA
24,233.02088587202124,218.11892427964438,PIA
25,258.3333333333333,253.84642651428572,PIA
