Minisector,GAS,HUL,Fastest
0,246.8248190698811,253.7697818669815,HUL
1,204.80714830705685,198.9211310412289,GAS
2,206.40824717300316,205.38835494965988,GAS
3,257.6645118983496,247.26924508635824,GAS
4,272.1320979353361,268.5982622708918,GAS
5,285.36654249650894,288.52230628675784,HUL
6,158.29442039312934,153.91507112065747,GAS
7,182.865419821486,189.45380020251693,HUL
8,265.0309163724954,269.6138771220779,HUL
9,292.7034845915152,298.90265620109176,HUL
10,304.23069440790124,311.32784277945774,HUL
11,301.27636863637457,312.8337746672054,HUL
12,109.9913299508345,107.62962971054347,GAS
13,190.38637013013823,194.00155030725125,HUL
14,266.9145728805577,276.57091574549287,HUL
15,291.6078748899048,309.79870855610113,HUL
16,291.5788039486466,320.6717942404889,HUL
17,187.5880059585306,187.14506260620485,GAS
18,219.60507493348385,216.21129729914531,GAS
19,261.82266577741495,267.4813713809256,HUL
20,142.32063230824573,152.0700151099131,HUL
21,142.75722633138025,138.4604808626333,GAS
22,214.61357287931622,209.1763189095461,GAS
23,228.56361323398093,221.92234284921747,GAS
24,155.08669584045583,156.33276926065585,HUL
25,223.92,225.37275839477945,HUL
