Minisector,ALO,HAM,Fastest
0,251.86989586666667,249.13204475238095,ALO
1,130.7751080082032,127.2001710767478,ALO
2,195.91033223426672,199.48553116329023,HAM
3,241.86728507844157,245.33625429920266,HAM
4,250.26217813333335,256.5498643504762,HAM
5,174.3078043007781,166.80981689431675,ALO
6,146.10403215472527,140.50086693765007,ALO
7,184.53891323996567,179.4745014299589,ALO
8,99.06596476513708,100.85452717522352,HAM
9,75.6299468905977,70.61299828932532,ALO
10,95.12160963598473,97.43351029724055,HAM
11,185.81740199639307,190.30478309490232,HAM
12,240.21648462666667,244.1329640391111,HAM
13,262.3539408511027,267.4056795114192,HAM
14,268.45751388571426,270.22235729230766,HAM
15,107.52701295254407,103.60562748103362,ALO
16,160.12850842004653,155.77761710085608,ALO
17,185.80246340787622,173.39366762943723,ALO
18,202.16509029378153,195.5976475147242,ALO
19,208.1843350970019,195.26107348029265,ALO
20,137.86156108575275,132.80050372789168,ALO
21,107.22274485371224,98.97569471423101,ALO
22,102.37310988922037,101.463295346338,ALO
23,206.86425385915106,200.9996617983723,ALO
24,246.0217875474573,252.6696845117173,HAM
