Minisector,VER,HAM,Fastest
0,290.1416901457385,305.3469864285714,HAM
1,298.2397934125913,325.5007713476768,HAM
2,301.63657413333334,330.83184518095237,HAM
3,299.60027732848494,322.08535932054656,HAM
4,165.1944414646563,166.13445675057767,HAM
5,212.2003201218059,208.94021062156065,VER
6,239.23838095450506,231.7594827224845,VER
7,266.756499656268,267.62069667036974,HAM
8,243.28477126271767,241.36850901079364,VER
9,157.52861612871328,158.55127559350282,HAM
10,220.49547801172892,214.2206080648224,VER
11,130.20214364375803,131.78056801672784,HAM
12,224.13955394318842,234.1385949025399,HAM
13,179.00831994799307,176.80877479405262,VER
14,212.0019142250038,216.40203248825665,HAM
15,243.63555318883874,237.59158530224443,VER
16,261.573338237927,269.2575081916266,HAM
17,286.25344031686274,291.62567950875217,HAM
18,150.29696284379747,139.58653932410425,VER
19,160.9003855833214,163.4677413354069,HAM
20,136.37673928652393,133.51676351195954,VER
21,226.95010581712233,226.80977770874458,VER
22,262.1177084248889,258.39435717410703,VER
23,252.68458225406658,244.40564951703317,VER
24,275.2927664740741,273.49569729668934,VER
25,285.24250048,,VER
