Minisector,ANT,HUL,Fastest
0,283.9924274007686,284.7046892946503,HUL
1,122.24907746695685,118.33410544468734,ANT
2,157.56203869497736,156.59960436746294,ANT
3,219.0728725093333,217.51659562698288,ANT
4,167.3800801232741,164.75389942801644,ANT
5,240.08472581710714,241.5587612988955,HUL
6,213.11611333714288,218.2612421424762,HUL
7,132.61180619948988,132.1416129627296,ANT
8,230.10698477809942,231.54047506757368,HUL
9,276.9987569340056,272.90916367847717,ANT
10,286.0966758050909,288.7667613915186,HUL
11,157.2218496287064,161.82096054128417,HUL
12,216.57969825972873,210.61544385916042,ANT
13,268.9206947294094,268.78819514444444,ANT
14,278.4180141150039,277.42328269385285,ANT
15,102.22650515429528,102.62919336221223,HUL
16,211.53281861642515,204.4469718478535,ANT
17,270.7864854934115,266.3172287756499,ANT
18,294.33177798162967,289.98089054730156,ANT
19,306.59937809608465,300.5565580439727,ANT
20,312.6723888872331,307.9633155080214,ANT
21,308.50475988625186,302.23499954984794,ANT
22,151.90993122555315,163.98767764082112,HUL
23,235.5195889870377,218.86490512798878,ANT
24,276.00979854285714,270.5868383972294,ANT
25,287.2977268363636,286.2993330346667,ANT
