Minisector,LEC,SAI,Fastest
0,297.883928431746,326.92249338546367,SAI
1,301.6491227508772,337.05416658823526,SAI
2,301.65796077886347,332.8845964467665,SAI
3,215.41466168888888,221.46979925784834,SAI
4,223.52503048144808,218.46705010013568,LEC
5,119.40640751719013,116.85626872417144,LEC
6,223.96399880533332,228.61067510660345,SAI
7,264.4439390545454,267.14464238268397,SAI
8,233.41992850856784,210.037218803931,LEC
9,122.02999788432146,121.29097203427241,LEC
10,238.76775262608697,244.0822400021447,SAI
11,247.15766737066667,247.81141448612834,SAI
12,133.60360335450565,128.74996609107896,LEC
13,218.73951659775258,225.21023435358563,SAI
14,264.2360503652174,265.90340892121213,SAI
15,216.043311265295,211.52470476190476,LEC
16,167.45465565490196,171.9714136450715,SAI
17,244.8266821877005,242.72808064927537,LEC
18,127.73645326376811,122.31887642612564,LEC
19,149.66963580589496,140.91474042222967,LEC
20,203.7541438802721,209.98147934814813,SAI
21,255.87435354985294,262.3908368156242,SAI
22,272.61456828952385,279.09206323809525,SAI
23,281.8763887238095,288.5979774229869,SAI
24,290.5048806857143,297.39912252631575,SAI
25,295.33333333333337,,LEC
