Minisector,BOT,VET,Fastest
0,288.81907527249746,285.98287966621314,BOT
1,297.77242082696966,294.2249736412247,BOT
2,303.00187977944864,297.7221439701531,BOT
3,305.9050438736842,296.2529166933333,BOT
4,193.10295893333333,171.69357136120465,BOT
5,228.04475326105353,212.75648098765433,BOT
6,257.22833397398784,235.85194282088003,BOT
7,274.581547784127,263.87244861678005,BOT
8,269.2139840710834,256.4269397995859,BOT
9,178.0517493904762,161.94332348855798,BOT
10,236.97554630934337,229.61596811080602,BOT
11,142.55750050666666,135.15177078651323,BOT
12,227.73583388626116,226.95019373288312,BOT
13,205.77894000656815,189.06385123890172,BOT
14,223.8752739801144,210.0291141703034,BOT
15,258.45955623188405,236.42916693333333,BOT
16,270.0158126874383,255.73663239719795,BOT
17,289.0367848399713,280.6141187573536,BOT
18,133.99569140717296,127.4853301875246,BOT
19,170.8147138420168,159.26155274059082,BOT
20,157.0819929759999,142.9935128211114,BOT
21,169.50584667338936,161.34793631214313,BOT
22,121.97571585913806,113.67439618105114,BOT
23,232.93412242168404,225.2465903189269,BOT
24,273.48373023492064,265.70552394887136,BOT
25,286.1124992,278.63571382857145,BOT
