Minisector,ANT,LAW,Fastest
0,310.3627388773109,314.86271990891356,LAW
1,248.57167779381908,216.87211483078238,ANT
2,131.4920157072132,128.19964133169324,ANT
3,214.05998433546785,213.1982028158373,ANT
4,263.5742564028988,261.8467103515844,ANT
5,290.1008911313837,290.5954955962437,LAW
6,305.51770563287175,308.62918256747696,LAW
7,294.0038889382067,283.69659987606445,ANT
8,177.11559730378377,172.038437818658,ANT
9,235.63396032059487,241.59974266006347,LAW
10,272.0873265780058,271.36753483652546,ANT
11,268.78354600144775,257.35020338147183,ANT
12,208.8095640081001,199.4364780418612,ANT
13,126.6345584499654,122.5852075127526,ANT
14,119.33873400753912,123.81311303960516,LAW
15,163.00089896837926,152.66033561943487,ANT
16,121.00503742222303,129.50713817377058,LAW
17,224.23446998890125,220.7742368457059,ANT
18,188.0511830789156,165.69278032462447,ANT
19,156.05649385027917,167.41432929756664,LAW
20,241.51906792703502,245.99740634854066,LAW
21,273.2269823858628,274.1483579261104,LAW
22,291.43256190431373,295.74201092131165,LAW
23,301.01812498,315.01431447215685,LAW
24,307.02241589270784,327.6619205710204,LAW
