Minisector,HAM,VER,Fastest
0,301.1869938533333,295.520237968254,HAM
1,303.43859649122805,297.78651859585557,HAM
2,299.49379398130736,288.48333413333336,HAM
3,236.45200166400002,224.38011264204806,HAM
4,223.9959033809653,221.04099661128205,HAM
5,123.58149231504831,121.76074153502046,HAM
6,231.79453965048302,228.099254749523,HAM
7,270.33710228752835,266.7600071039635,HAM
8,219.7332641213194,217.89570627750916,HAM
9,121.74790373678393,124.5905989962453,VER
10,241.94776253047652,239.93419463139693,HAM
11,253.67898731594204,251.432542444794,HAM
12,137.78767380027801,138.370801320784,VER
13,224.4291383235385,219.70123238941798,HAM
14,269.5859099835299,265.72916630929706,HAM
15,230.2324092830476,223.1326216216237,HAM
16,177.81084152816183,173.49931985565345,HAM
17,246.71177470144926,242.61882943982073,HAM
18,127.71167555749466,126.42254433914079,HAM
19,152.6386240621715,154.0618388994709,VER
20,209.0783177140756,205.25646924836545,HAM
21,258.89166519641566,255.1838758426501,HAM
22,275.5471128304762,269.7504632011899,HAM
23,285.92122966349206,279.68670437117663,HAM
24,295.73145808,288.93195447819545,HAM
25,,293.0,VER
