Minisector,PER,BOT,Fastest
0,289.44935696605796,286.57396796350207,PER
1,300.43806560253967,297.5678578387825,PER
2,306.9164931259259,301.8479765307815,PER
3,308.0173608177778,297.4889376829348,PER
4,191.01646146873176,185.95233262385486,PER
5,214.44377893084092,211.44972942311426,PER
6,264.985454017974,261.8965232951227,PER
7,270.5039359839286,256.33726906896396,PER
8,189.56026337038776,181.498935364586,PER
9,155.96498331418297,147.85452019109746,PER
10,183.56639168864152,184.04346404426306,BOT
11,257.54360801941044,253.70493801143547,PER
12,266.030166048,241.96251828749206,PER
13,231.22642501425383,219.0812927324303,PER
14,267.70397227644906,263.40248417439153,PER
15,164.645973398139,170.49482960835292,BOT
16,222.2879358184153,214.68600819374151,PER
17,230.50205241713985,240.5761424546584,BOT
18,135.75548665619922,136.9884958798589,BOT
19,240.82246791040984,232.91488675661375,PER
20,277.44838452390024,271.65848291047615,PER
21,248.9562965782047,243.79660257532478,PER
22,144.01680988932586,139.20558541983647,PER
23,212.18664862476464,200.75522353623796,PER
24,267.9760353890909,262.65298221184264,PER
25,,278.21495374058844,BOT
