Minisector,LEC,LAW,Fastest
0,279.7316376421053,274.61626795497835,LEC
1,120.3827322235722,113.43331477317611,LEC
2,162.20038947860317,164.76653837724052,LAW
3,198.12594367175345,205.89991810561767,LAW
4,157.51933904155842,157.7703462087619,LAW
5,228.64607764391053,239.8595680222449,LAW
6,181.1606312165419,201.01831974730158,LAW
7,131.72416109518224,130.9023654966717,LEC
8,239.70822465561906,243.50173056493824,LAW
9,286.38572300273773,284.76188595899157,LEC
10,271.41016932712387,269.6280376575553,LEC
11,149.33315300628973,146.7498295521839,LEC
12,227.5131795474286,224.77523943957672,LEC
13,277.0468585057143,277.26601357385624,LAW
14,263.15023851797594,223.13027085099404,LEC
15,102.18656710528893,100.79107078258205,LEC
16,230.37179136459332,233.02333432493828,LAW
17,293.2820027238095,287.2817238789916,LEC
18,322.6418849225927,315.55608256866356,LEC
19,334.4371180711111,323.95527445878787,LEC
20,331.6570392292571,314.74311317098903,LEC
21,284.54649134508895,285.1856831165291,LAW
22,149.70618521565657,154.56701952825094,LAW
23,238.80657676374335,244.5665170237039,LAW
24,297.43541684705883,273.93329272387217,LEC
25,311.0863639272727,,LEC
