Minisector,RAI,LEC,Fastest
0,280.98270434708996,280.7440142984127,RAI
1,306.32770360119696,304.6636917595504,RAI
2,320.76388864,316.0107993360544,RAI
3,327.76831483076927,322.9812499809524,RAI
4,331.6360119619048,327.930402930403,RAI
5,333.2548937426522,330.09502488920003,RAI
6,208.74842311552794,198.38514609026916,RAI
7,109.69233596503302,107.62910846736352,RAI
8,190.68156679704404,186.0686569293236,RAI
9,266.24036467488753,269.57034334117645,LEC
10,294.5699997866667,299.25555555555553,LEC
11,168.10075939998873,160.26450209559772,RAI
12,100.57152174704814,100.27826233815844,RAI
13,119.68038955572715,122.23439916766658,LEC
14,227.8035779094386,220.72618996825398,RAI
15,178.21739153623187,187.22095697777777,LEC
16,219.32145556643445,221.83257772099464,LEC
17,174.648334336,173.8836669677956,RAI
18,237.71470083657474,246.3898143459232,LEC
19,281.00755226666666,288.8818560508838,LEC
20,248.34166666666664,224.57244016704348,RAI
21,145.3739827317972,143.83655544106955,RAI
22,100.27378181907767,99.36670186746056,RAI
23,128.74336558431372,128.0734919259303,RAI
24,232.08613519650652,238.66701709803922,LEC
25,263.229168,,RAI
