Minisector,NOR,GAS,Fastest
0,295.3487922300936,298.6203483140474,GAS
1,246.40459096531387,251.2752169216159,GAS
2,202.09337726052453,199.82292435750992,NOR
3,267.85919706333704,268.130885230722,GAS
4,224.44951184217686,228.23640404574792,GAS
5,117.92698320842887,116.00348746142508,NOR
6,179.97567039450004,180.36728749863346,GAS
7,257.5715712513464,257.39588159895294,NOR
8,287.34324056619624,285.6060099335749,NOR
9,301.1570182366542,299.00046803828866,NOR
10,304.11083992686724,305.19880934603174,GAS
11,222.37679582387636,233.2799417728233,GAS
12,146.16869015011068,144.86772266532665,NOR
13,254.44287465380683,257.9761641403297,GAS
14,288.1201035100849,289.55162088344304,GAS
15,300.320837418877,299.3431613385587,NOR
16,295.01924612063493,297.2076784990476,GAS
17,266.6885115297374,263.6123067334754,NOR
18,192.93882021184677,185.62549239205453,NOR
19,188.24953219269,193.65468774910553,GAS
20,183.292237332287,179.6072859350381,NOR
21,246.3790195184747,250.6073916071985,GAS
22,127.25265861030923,128.6706782918477,GAS
23,198.70211812382544,192.46666466402928,NOR
24,276.98534013649805,274.7174316821782,NOR
25,289.00833386666665,289.32916693333334,GAS
