Minisector,ALO,PIA,Fastest
0,255.13288735188846,254.9619102590476,ALO
1,199.9186631163454,213.2678101787586,PIA
2,206.80349778820897,206.73515872122604,ALO
3,260.70903403285024,258.53094671634796,ALO
4,275.35282174521535,274.8113347731997,ALO
5,291.4344723480859,288.1088293728395,ALO
6,157.7402910489983,160.08668733699048,PIA
7,188.48342777295716,181.5114806498819,ALO
8,272.54240988504614,268.93949403442423,ALO
9,308.0633161802688,297.8490675968951,ALO
10,325.2102732020168,309.12340460948303,ALO
11,305.058457847815,305.9917402369161,PIA
12,100.50327016661228,109.67756818285612,PIA
13,194.17773102610442,190.66389288555808,ALO
14,279.8558142061839,269.0974506683353,ALO
15,311.3628906522306,295.29661110222224,ALO
16,322.63458338158733,297.13218973605444,ALO
17,176.73661955265305,191.388996845,PIA
18,220.19121951012346,220.85209259918366,PIA
19,267.5602922431169,271.2051928272109,PIA
20,146.50325721766234,157.79000148838765,PIA
21,144.4678171348949,143.45855328947735,ALO
22,220.49743678711346,218.30446505365578,ALO
23,229.0766629492029,239.25962587182997,PIA
24,164.23094287532962,155.2720382895698,ALO
25,,226.0,PIA
