Minisector,ALB,VER,Fastest
0,264.27373165119076,265.36271983157894,VER
1,292.99505144761906,295.7606880005601,VER
2,307.7710453877551,310.321785975873,VER
3,315.5702775466667,317.88833336888894,VER
4,319.96805546666667,322.571131047619,VER
5,322.5065475809524,325.5,VER
6,284.6671908,285.9559108142675,VER
7,118.5776204542497,112.4295572713849,ALB
8,153.4268835435695,146.20235568272716,ALB
9,250.11319253333335,249.37662162962962,ALB
10,287.4196419176743,288.3833611351855,VER
11,233.28208177349163,251.36090719130797,VER
12,94.61063759461334,92.46890825139889,ALB
13,111.97311866070065,109.1525298100451,ALB
14,214.60825097835496,205.8842812121212,ALB
15,191.49478474167617,192.88816622933334,VER
16,225.3277479351636,221.04216456320984,ALB
17,192.21815548571428,189.1967758222222,ALB
18,223.05428681738118,220.13284587997398,ALB
19,271.5123440304646,273.00917381736696,VER
20,287.8656256,290.97838486666666,VER
21,162.93385718562055,157.20506522910685,ALB
22,102.44464803006862,103.03803418714482,VER
23,123.05620833394396,119.14484634385965,ALB
24,207.36721993571516,195.25625035555558,ALB
25,,244.885416,VER
