Minisector,SAI,NOR,Fastest
0,244.17442560688255,246.60757868693727,NOR
1,281.96862771489435,283.25533333333334,NOR
2,187.9715302469844,187.42643004719088,SAI
3,148.14296997477507,148.92605964317673,NOR
4,256.26959454195395,258.65351237507065,NOR
5,268.5910256410256,266.3927883897436,SAI
6,211.58019044964217,216.6350226934602,NOR
7,192.91372549019607,195.4571627468324,NOR
8,151.9402651561995,149.67177060817787,SAI
9,203.58822473667388,206.67089079171075,NOR
10,270.98419047619046,267.3553333333333,SAI
11,124.36120273913222,128.05099115626282,NOR
12,198.59331818385505,201.26563877643122,NOR
13,273.6536190476191,269.4581666986667,SAI
14,302.75963203463203,290.8618181381645,SAI
15,317.9234904726085,299.4528985507246,SAI
16,269.00466666666665,272.0111905361804,NOR
17,128.1810728066813,132.73928811874686,NOR
18,122.47726134974732,124.74989581278676,NOR
19,115.04569202259887,116.45305497615348,NOR
20,222.0274463311828,219.34812876980567,SAI
21,248.55555555555554,252.28720243223444,NOR
22,241.3478046738748,244.16825755105756,NOR
23,216.94354838709677,217.12231187956988,NOR
24,136.91074603212806,135.05048314949144,SAI
25,215.0,212.02361173333335,SAI
