Minisector,LEC,NOR,Fastest
0,276.99634252506513,283.8767507972699,NOR
1,285.08151501284846,294.37377394885084,NOR
2,269.7971676823147,274.57380469427886,NOR
3,177.35005489768838,166.0155642225903,LEC
4,115.82489398728136,114.85330203519038,LEC
5,245.72470520353247,240.45610136861907,LEC
6,298.22889610419196,288.9606478459822,LEC
7,309.6603219690816,289.79678074356264,LEC
8,171.71236276437773,170.51507343762785,LEC
9,136.77714896427383,137.5737916765265,NOR
10,248.93455670457394,258.5399077208429,NOR
11,283.83058954118746,297.2038256185085,NOR
12,288.85932533038743,296.96220764485855,NOR
13,275.4594550739927,271.8143496602881,LEC
14,287.86121281626913,284.1624373488684,LEC
15,279.6569723926833,277.17671434556837,LEC
16,243.69662638134383,233.61663167114253,LEC
17,219.00511668215182,225.71331299007142,NOR
18,285.00882364275134,280.6430911777645,LEC
19,309.4372223573333,297.8351504711111,LEC
20,306.0085381721553,297.19556204377614,LEC
21,225.89277037641725,223.80266243869076,LEC
22,235.07223021824822,235.32876564267661,NOR
23,134.76579288699762,133.7752430302556,LEC
24,206.93835505913123,216.22092597686859,NOR
