Minisector,PIA,ALO,Fastest
0,275.5907468578081,267.4400053472194,PIA
1,123.82362481316156,110.34325601495358,PIA
2,167.4167916764064,158.59749522706076,PIA
3,216.64532577422221,202.8282830313074,PIA
4,164.32537096681094,158.97901549526853,PIA
5,242.55056038028985,242.4094826600668,PIA
6,196.19689165586814,198.2528561634485,ALO
7,132.15161082351378,131.83917959577863,PIA
8,233.87484204842895,234.50655244074167,ALO
9,278.2426311111111,276.6829634613475,PIA
10,285.3543575771428,267.6500215111111,PIA
11,150.43467886408843,151.592601215091,ALO
12,224.240276350839,231.6873897635556,ALO
13,274.34738028190475,273.9006284156614,PIA
14,256.373995210582,230.81159812409814,PIA
15,101.21617528258565,101.21665821380896,ALO
16,224.4700008838765,229.07566247887436,ALO
17,273.33570343685494,276.6080015148748,ALO
18,292.05594155333335,292.6642746795688,ALO
19,300.6671753346556,302.556733559308,ALO
20,304.7092162488889,306.92198412190476,ALO
21,271.05881628885686,238.88714285714286,PIA
22,141.41638611956668,159.95170156344912,ALO
23,233.959736008,244.5417308000641,ALO
24,277.1454501879524,278.0178371218583,ALO
