Minisector,BOT,STR,Fastest
0,272.47113383628346,271.29917128707484,BOT
1,289.5086025572501,291.4311856409019,STR
2,286.65780673867295,289.25038882133333,STR
3,188.00004671726384,183.0598369394297,BOT
4,126.31801453503714,121.99290940988368,BOT
5,235.3353871788274,234.5157474307408,BOT
6,281.0929320378974,280.0107876777055,BOT
7,293.8378767573548,297.6505783555555,STR
8,178.26941869057117,184.77311244654362,STR
9,142.13485302202145,139.31022141711037,BOT
10,249.1919993826871,246.5264392888889,BOT
11,284.7500638192727,284.2058336516429,BOT
12,294.27599991466667,298.44141852698414,STR
13,279.916849810989,278.64391234956895,BOT
14,295.0950561708967,296.51116689066663,STR
15,298.97079228603235,304.163085251042,STR
16,263.2305111115721,255.59793175170924,BOT
17,226.16044886045074,218.62763182770837,BOT
18,279.7287470181764,277.0557696820513,BOT
19,301.38142373333335,303.82525207701707,STR
20,307.24019585020216,312.2114582666667,STR
21,239.40138801777778,228.85010398516275,BOT
22,260.06143120084374,255.0854219484638,BOT
23,136.29288449931354,141.98725341556366,STR
24,216.11252571937302,199.08510072375455,BOT
25,,254.33749973333335,STR
