Minisector,ANT,HAM,Fastest
0,120.36998406965988,133.5937596197531,HAM
1,169.21698522412697,151.21296769389528,ANT
2,195.07535707428573,208.92801222222545,HAM
3,164.7021280587281,237.60773920846563,HAM
4,158.0174996254945,264.34511552,HAM
5,140.8012720551724,274.0876834621884,HAM
6,161.01608967416237,299.3792950717793,HAM
7,202.74583950589246,309.82062544,HAM
8,235.9824819681203,316.7269389061225,HAM
9,247.1744218074074,320.1179168,HAM
10,238.66666666666666,320.56937488,HAM
11,203.32703175141896,319.4122362600496,HAM
12,211.11545437090908,271.67035922962964,HAM
13,231.18300547724868,216.16297550362182,ANT
14,260.2614681695296,118.31526272,ANT
15,270.916513942071,91.92856550837699,ANT
16,252.4088200605042,113.7476250786912,ANT
17,134.6658169227031,169.67020079472528,HAM
18,118.62656912653061,197.00979258666666,HAM
19,178.9203810242981,223.07433605786957,HAM
20,191.40090020444447,238.18157945263158,HAM
21,129.65368923428574,203.3181818181818,HAM
22,97.34251998355731,139.09210324967952,HAM
23,150.95742181942504,122.64529430588236,ANT
24,187.1968531809524,140.713769925,ANT
25,178.0,193.9224168772057,HAM
26,,221.63905970567902,HAM
27,,242.16607177142856,HAM
