Minisector,ALB,BEA,Fastest
0,287.3346431302139,285.80208282190875,ALB
1,306.6371540807519,302.7630786074074,ALB
2,312.65224198474186,300.7261236801832,ALB
3,199.26487053736886,199.25882514459863,ALB
4,233.85643454113378,232.93709493216116,ALB
5,226.59229047855197,223.12464314958262,ALB
6,209.78627013308756,212.70439632118516,BEA
7,228.2418786564157,229.3667239711111,BEA
8,271.1161274926722,264.4294995772583,ALB
9,275.50521326044225,265.14624449261083,ALB
10,171.647491223873,174.97135807322752,BEA
11,240.74717939360744,234.73302049956428,ALB
12,112.23387409486091,120.84762521414235,BEA
13,224.66019977786294,221.2711687084581,ALB
14,277.54374439074377,276.6215316072636,ALB
15,294.6591359763207,285.88418350994283,ALB
16,216.06135146318192,218.32759544700627,BEA
17,182.89786458409415,186.31934094916963,BEA
18,272.1887592070309,266.7200121496381,ALB
19,293.62814867389926,290.2125239042177,ALB
20,305.8793664506782,300.83563622485497,ALB
21,306.96623379116886,302.05029412940837,ALB
22,275.39350220772053,270.5097344231651,ALB
23,120.70747372966292,118.66096360471315,ALB
24,242.27349627755103,240.1536389620779,ALB
25,274.7263157894737,272.9624992,ALB
