Minisector,RUS,OCO,Fastest
0,279.18518620506427,271.0925075177853,RUS
1,114.17829033907013,108.92102209072448,RUS
2,165.97271253743162,158.5015679567075,RUS
3,216.6287840441457,201.6378395654321,RUS
4,158.2537033425226,154.05261206284104,RUS
5,241.0041256098399,235.80102257689518,RUS
6,206.71233395129812,177.27748586666667,RUS
7,135.10539098263527,129.32945141190825,RUS
8,235.6408938736804,233.37212288,RUS
9,277.0856944444444,281.5616530831704,OCO
10,286.4384694637004,278.90089189714286,RUS
11,153.26847152444444,142.05706778673968,RUS
12,226.11146392352487,218.8044920345147,RUS
13,273.1077596689386,271.83120638502925,RUS
14,273.5190367965368,269.92129954920284,RUS
15,101.5567689348067,98.90990343004295,RUS
16,211.9377724289855,214.54620355155365,OCO
17,267.98350932274485,266.24236239780527,RUS
18,304.49978524743227,299.2144987692047,RUS
19,317.3147544347016,314.907985148052,RUS
20,325.5117593244444,323.62598169035886,RUS
21,282.99157894736845,288.16548326607045,OCO
22,149.23697501976955,146.72067784654794,RUS
23,238.34186792372654,226.5186664100391,RUS
24,280.4295399669304,279.47878906666665,RUS
25,283.95000319999997,285.0,OCO
