Minisector,OCO,NOR,Fastest
0,305.78836298410437,308.7430213422222,NOR
1,189.7441202236553,189.54582891032427,OCO
2,113.21109201106499,111.56317294618017,OCO
3,198.50459162698414,189.11771511343773,OCO
4,255.89040554426504,253.1882381439923,OCO
5,282.87232665627704,282.5428567695238,OCO
6,298.3542602722078,299.3022397696192,NOR
7,243.08360703003626,235.63603213561905,OCO
8,141.7751215030303,146.1280794784163,NOR
9,224.43678790095237,228.39055806048455,NOR
10,267.8947028761905,269.62490545015874,NOR
11,234.71226546424242,223.93926770628548,OCO
12,175.31591434321268,177.80794265791886,NOR
13,108.5513973935951,108.27121316318559,OCO
14,105.56212576634027,104.75752662193362,OCO
15,149.6819592817316,135.82889402487092,OCO
16,105.41269984675415,111.78247106365964,NOR
17,205.18502533614267,206.3317618583851,NOR
18,154.89898414337662,160.46866234866772,NOR
19,147.15591029154584,149.10629483111296,NOR
20,237.73581776962405,240.75734199238065,NOR
21,270.3721640616785,273.6538430297643,NOR
22,289.7061454567003,291.2816954697143,NOR
23,299.6634069328254,302.6228602141934,NOR
24,304.37041971536956,308.46927468033465,NOR
