Minisector,RAI,HAM,Fastest
0,251.85190692763356,252.2764499640252,HAM
1,284.73956911733137,290.3269870303974,HAM
2,174.1123178498277,185.38478874287924,HAM
3,163.47008506389201,159.52914864352164,RAI
4,259.6621216,260.5974490557823,HAM
5,275.33842229526715,271.65946967272725,RAI
6,233.553624544,236.12799991466665,HAM
7,207.0642310181695,210.43072007567415,HAM
8,164.95899654965987,159.98677411877117,RAI
9,220.74372692546757,218.94504992168666,RAI
10,271.24325424761906,272.44423558897245,HAM
11,133.67001242424033,135.87243500317135,HAM
12,216.64014606987436,220.24535908678047,HAM
13,278.35479057414966,278.9166666666667,HAM
14,299.17828951578946,302.39697678761735,HAM
15,305.53636911238095,311.5833333333333,HAM
16,242.6845228312381,238.55426494229047,RAI
17,130.09848273971312,130.97628574900452,HAM
18,127.39687796069963,133.93554011555247,HAM
19,118.80030932227494,120.61461632341171,HAM
20,227.16664952144532,229.45766313600672,HAM
21,253.7528987826087,258.4562498909091,HAM
22,236.8107231058349,240.60149724070308,HAM
23,217.08155182275016,218.63837624616974,HAM
24,137.0385676948276,142.3959745739647,HAM
