Minisector,LEC,ALB,Fastest
0,309.49783859248123,296.6048723160503,LEC
1,186.42458158311982,213.8346420580499,ALB
2,225.51593465569954,226.70146229242835,ALB
3,282.4652513201436,274.0897377491153,LEC
4,233.1491409192487,239.93670138758094,ALB
5,129.16583017956032,126.55862018278359,LEC
6,215.6983835900571,207.65787900376571,LEC
7,261.6006178502833,253.1198812612472,LEC
8,242.74040177177503,232.61596482653397,LEC
9,233.4922994589364,226.70594444850053,LEC
10,279.3007493787121,271.34706226216446,LEC
11,299.54034347750445,292.1908179188041,LEC
12,309.50907791040976,304.5054934750718,LEC
13,315.02505451896747,310.8298625271918,LEC
14,318.22076125483403,307.4231275906301,LEC
15,267.36924874089186,252.79482226814156,LEC
16,242.3589357482958,232.3588148,LEC
17,287.6776490448806,275.7795371167457,LEC
18,309.0666594488889,288.7599246988849,LEC
19,160.8164619024827,151.9701484601591,LEC
20,212.34005784305006,205.8908429062612,LEC
21,204.599891987269,180.5560019957511,LEC
22,138.85433032858862,137.40623807865867,LEC
23,237.54753590884764,232.48995738575866,LEC
24,279.91873456207793,277.37396267508774,LEC
25,290.7083338666667,290.6000012,LEC
