Minisector,SAI,ALB,Fastest
0,249.86012596657147,245.41572188950983,SAI
1,119.69663177193596,121.47028533356668,ALB
2,256.02121201965963,264.99990854680135,ALB
3,302.9333773488552,306.85131371664625,ALB
4,304.32032064610524,300.258160501115,SAI
5,311.98358149274725,317.530377056508,ALB
6,314.813742315873,330.1730998265076,ALB
7,313.2000609188571,330.81188077037905,ALB
8,183.76253713314057,187.59687283932075,ALB
9,181.80923539374092,175.94412642267346,SAI
10,170.8400510220358,172.21493253606852,ALB
11,169.10111403067964,168.04186766813638,SAI
12,251.3621576626163,248.68766293676723,SAI
13,268.74703942066003,240.99923422126318,SAI
14,278.2239722446828,257.88982703386216,SAI
15,267.6202225879365,254.84892990151957,SAI
16,166.9711050331108,165.37283212297015,SAI
17,175.6649411918992,173.52070476485096,SAI
18,231.05504225613444,228.7998433795195,SAI
19,279.7562289377289,277.9544504489827,SAI
20,301.1306130831911,302.33970725687647,ALB
21,307.0580116752726,308.98378829029394,ALB
22,305.2421330901745,307.76479584190474,ALB
23,249.55927458990053,231.62756231763433,SAI
24,108.67083958450594,108.57124329033033,SAI
25,222.0999936,,SAI
