Minisector,ALO,SAI,Fastest
0,268.8880529741497,261.37451138380953,ALO
1,134.90745638722973,129.66547436952382,ALO
2,194.4936299845695,201.02155925360282,SAI
3,244.33248270534799,247.69550805056278,SAI
4,259.69479077528746,259.81336802163173,SAI
5,178.80554473870825,169.0950284893387,ALO
6,147.74691929816797,140.62696653515528,ALO
7,178.83154474065958,184.18689503780104,SAI
8,98.6298882333448,96.60877749302549,ALO
9,74.60279587870582,69.87189718488307,ALO
10,89.91537950316759,95.33726437534854,SAI
11,174.844750974683,187.92976666713972,SAI
12,242.48221240334777,245.7600303658975,SAI
13,266.4530619820408,270.826843712752,SAI
14,276.59847626779316,274.71817384573893,ALO
15,117.07487753267672,100.06545819346204,ALO
16,145.02427779446342,159.8439881157671,SAI
17,180.49478121142857,184.5580968398095,SAI
18,196.89294009481483,196.9436282352941,SAI
19,218.33466942201431,202.2076434265671,ALO
20,134.24842773705927,135.22853454705123,SAI
21,108.99966608809987,102.03284096694199,ALO
22,93.67173636662358,105.44897392430629,SAI
23,196.27677742010357,208.07664913469975,SAI
24,249.01159464313528,254.7131429040293,SAI
25,263.3812464,,ALO
