Minisector,LEC,RAI,Fastest
0,319.64185604848484,300.6454054046011,LEC
1,320.0890578961511,301.57537881212124,LEC
2,268.09722222222223,263.94765873258734,LEC
3,149.5691997416209,152.20499729042723,RAI
4,163.43579046153846,172.60165189794247,RAI
5,213.4516469231746,211.47457345242864,LEC
6,229.7974521773553,232.73892779013312,RAI
7,209.25662696634922,210.96357069405533,RAI
8,259.4133466393739,264.26601098209443,RAI
9,253.55462452161174,258.667362301602,RAI
10,267.64185376982414,271.3328158013583,RAI
11,273.5621376115942,274.6923609269841,RAI
12,271.85805799853955,270.48211831746033,LEC
13,268.68600941877446,260.25560589662365,LEC
14,178.4456986257295,172.01210117147176,LEC
15,233.36579358363875,235.73880762165976,RAI
16,208.9105085232184,212.41992375238095,RAI
17,163.9038534255639,165.17553684913813,RAI
18,253.24998291916845,253.19487719375152,LEC
19,283.5508928207792,282.9102167638389,LEC
20,247.29000083965255,259.2134177737143,RAI
21,180.1780987159664,184.704268461605,RAI
22,253.59158404932808,255.483916,RAI
23,283.16066014199134,283.6261694933098,RAI
24,297.74640155151513,295.5695344761905,LEC
25,,300.0,RAI
