Minisector,BOT,SAI,Fastest
0,288.13192754157564,288.5996404727098,SAI
1,304.07687498666667,305.20875013333335,SAI
2,299.73269465874426,298.5123630188923,BOT
3,191.88316115669244,180.83167191808303,BOT
4,229.63937714871795,227.00550946087841,BOT
5,214.97499328779276,209.3010836577293,BOT
6,199.2441629984639,193.20883940547364,BOT
7,224.23439076751444,218.4147782338178,BOT
8,257.8135166984127,259.45843297777776,SAI
9,261.7654235986127,262.89121892984747,SAI
10,183.11416100707632,173.71470556862747,BOT
11,244.89167801555072,241.03741932327927,BOT
12,123.11551981601697,118.44040810028366,BOT
13,230.83262873191913,232.08816823466665,SAI
14,271.0852182663038,275.09736761619047,SAI
15,278.9130435060869,279.71224465124715,SAI
16,216.15018019074668,206.75190809671778,BOT
17,200.37307044632618,187.99267712323234,BOT
18,273.4976095688989,271.7493791180017,BOT
19,294.8672889004329,295.2014552719577,SAI
20,304.69949403428575,305.59208341333334,SAI
21,304.01270837333334,305.5416666209524,SAI
22,251.63309525942856,250.2677997728351,BOT
23,122.74989307123809,116.872400986401,BOT
24,248.83412266201094,246.242812981685,BOT
25,275.90000274285717,,BOT
