Minisector,STR,SAI,Fastest
0,297.8149891590329,296.4718882753102,STR
1,306.8290818612245,304.62648807619047,STR
2,312.7625001025641,307.03216811505195,STR
3,313.6955782965987,295.5224356923077,STR
4,203.30725846511524,190.42575594507687,STR
5,94.57309253333334,98.77954962249358,SAI
6,196.36272777437037,210.168254984127,SAI
7,254.901226227451,259.11283832403547,SAI
8,282.708334,280.559896,STR
9,286.5452504910441,281.2461095822222,STR
10,149.54688795202821,144.52447994774485,STR
11,166.9013466588268,179.08361736961263,SAI
12,239.99019708235295,242.73492117671958,SAI
13,242.93200883809524,237.31068003386247,STR
14,147.41515867543347,147.13500883243776,STR
15,205.08174775873016,209.93412091578483,SAI
16,258.7328877714286,260.67324367896276,SAI
17,282.2589367511235,281.6199208330159,STR
18,295.64920663365075,293.04927319674664,STR
19,299.6997221688889,299.7329508789116,SAI
20,284.95838081652346,291.67741931960205,SAI
21,147.86758580603873,150.83917401146874,SAI
22,201.81468464761903,212.31702512761905,SAI
23,257.7928615093756,260.0374599411146,SAI
24,284.7636120888889,282.98920655238095,STR
